Hugo_Symbol	num	cases	freq	highNum	highCases	highFreq	lowNum	lowCases	lowFreq	pval
LAMB2	5	127	3.93700787401575	5	44	11.3636363636364	0	68	0	0.00809525121451726
PIKFYVE	7	127	5.51181102362205	6	44	13.6363636363636	1	68	1.47058823529412	0.0143076534867055
ROS1	5	127	3.93700787401575	4	44	9.09090909090909	0	68	0	0.0218571782791966
CREBBP	5	127	3.93700787401575	4	44	9.09090909090909	0	68	0	0.0218571782791966
TRPA1	4	127	3.1496062992126	4	44	9.09090909090909	0	68	0	0.0218571782791966
SERPINA10	4	127	3.1496062992126	4	44	9.09090909090909	0	68	0	0.0218571782791966
SEMA4F	4	127	3.1496062992126	4	44	9.09090909090909	0	68	0	0.0218571782791966
CARD11	4	127	3.1496062992126	4	44	9.09090909090909	0	68	0	0.0218571782791966
RYR2	9	127	7.08661417322835	7	44	15.9090909090909	2	68	2.94117647058824	0.0271786960038308
