,IM,BL1,MSL,M,BL2,LAR
MB.6251,1,0.971,0.008,0,0.034,0.184
MB.5450,0.002,1,0,1,0.012,0.61
MB.0100,1,0.05,0,0,1,0.994
MB.5572,0,0.996,1,1,0.556,0.939
MB.5655,1,0,1,0,1,0.51
MB.5633,0,1,0.022,1,0.02,0.532
MB.0627,0.003,1,0,1,0.005,0.002
MB.5624,0,0.008,0.915,1,0.983,0.561
MB.5566,0.879,0.76,0,0.028,0.017,0.994
MB.0414,0,0,0.989,1,0.999,1
MB.0396,0,0,1,0.885,0.976,0.904
MB.0874,0.005,0,1,0.996,0.372,0.84
MB.0269,0.992,1,0,0.168,0,0.395
MB.0901,0.002,0,1,0.996,0.982,0.226
MB.0464,0.001,1,0,0.997,0.618,0
MB.0163,1,0,0.892,0,1,0.984
MB.0149,1,0,0.977,0,1,0.124
MB.0350,1,0.815,0,0,0.415,0.353
MB.0303,0,0.564,0.206,1,0.246,0.996
MB.0436,1,1,0,0.003,0,0.001
MB.0588,0.985,1,0.007,0.438,0.688,0
MB.7119,0,0.981,0.989,0.999,0.871,0.059
MB.7012,1,0,1,0,0.014,0.998
MB.0174,0.926,1,0,0.918,0,0.963
MB.5547,1,0,0.745,0,0.986,0.023
MB.5465,1,0.767,0,0,0.909,0.997
