Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.AR.A0TU	0.12247169081938393	0	0	2.019424667102512	0	3.880103648669803	1.2650579984805703	2.2590749017357203	0.38970291780224314	0	0.7874210612534165	0	0.21508384361341543	2.9220617707607364	3.3621578603316893	4.230664028105364	0	2.7764012664195867	0.7703743449055737	0	0	0	0	0.3971545709429827	25.000000000000014
TCGA.AR.A256	0.012700996738762694	0.11379092557854091	0	0	0	4.885940870208973	0	1.1569890338704671	0.01531753868541045	0	0	0.32393896695648194	0.15828383052582143	6.858184579064673	0	0.29892759857513385	0	2.8656879987370822	0	0.4352376610586581	0	0	0.03	0.18642650405626515	17.125000000000004
TCGA.AO.A12F	0.03558569584837513	0.1811359972694039	0.00500726226485571	0.6510694120994925	0	2.933464614622679	0	0.8686737258299139	0	0	0.344228282040925	0.182359583503098	0.9199831669918651	1.8093518149173733	0	2.9893771853001434	0	0.4292293843224134	1.29658858496376	0	0	0.22894529002570174	0.5	0.01773134216275083	12.875
TCGA.C8.A3M7	5.775918477353003	0	4.871007507908725	1.5549073270049734	0	4.920868911417552	0	0.1570015665157251	0	0	0	1.052419927705243	0.5558819172470169	0.22065094540982988	1.4332719891049104	3.164590052207871	0	0	2.9184813781251644	0	0	0	0	0.4469914968777156	26.625000000000014
TCGA.GM.A2DF	5.026238619441228	0	1.0341259752199254	2.028152336548883	0	3.375383087195992	0.06148785132306513	1.3516545736606111	1.3169078486064336	0	0	0	0	9.326420187250475	3.2177388873809805	5.261890633372427	0	0	0	0	0	0	0.03	0.20710892286710747	32.00000000000002
TCGA.BH.A42U	8.702701802823466	0	2.279603819875978	4.150967593984625	0	11.76744931562426	0	1.0472808630918207	2.0712819452297757	0	0.41592621085193815	0.7678372796225011	0.5523050717215006	6.387439129009011	1.7369726805254624	6.8556295341811655	0	0	0.012868232784897607	0.3767365206736405	0	0	0	0.34372839408376843	47.12500000000004
TCGA.AC.A2BK	0.8720087027187314	0	0.10497766918601131	0.6978551712784676	0	0.45969192354769506	0	0.5945606030302183	0.1549657384541752	0	0	0.11263121995444311	0	0	0.5497430702784412	2.1197063949281327	0	1.0793193652308897	0.12954014139279846	0	0	0	0.32	0.04422744436377271	6.875000000000004
TCGA.BH.A0BL	11.293168551730725	0	1.4617493862012965	0.2634507530540529	0	5.725547904866914	0	4.551564988084148	0.15872381295203844	1.384415021002309	0	1.7328565211564966	0.9256483059701042	8.271116893586296	7.027588428480975	4.22879121050746	0.7039190869247562	1.0887536117688703	5.182705523713565	0	0	0	0	0.3794125549922975	54.00000000000001
TCGA.A7.A26I	0.864383960935134	0	0.18288752358738192	0	0	1.5708150401039933	0	0.15438839503893714	0.055856590741910024	0	0.22896950888383058	0	0	2.4874438486777866	0.21345877196568055	3.349278216677561	0	0.36574755185078034	0.17886268358028626	0	0	0.09790790795672166	0.07	0.134245487103347	9.750000000000004
TCGA.OL.A5D6	1.2447969183196288	0	0.032618463400920374	0.04028695798733708	0	3.920006437630054	0	0	0	0	0.4105908348679601	0	0.3638311072415786	0.5310071663991597	1.0045596506944838	5.868231573366355	0.3684906297157333	0	0.9655802603767856	0	0	0	0.07	0.1278313844836028	14.749999999999996
TCGA.E2.A1LL	0.016532668436057125	0.14184604241560597	0	0.28308881548694853	0	1.158212689252872	0	0.5021036453045318	0.017876218671026997	0	0	0.18078853099195613	0.38155511444427964	2.1774117869756413	0.0657140590492582	0.445006770361108	0.04640728776714346	0	0.9716555390428231	0	0.11180083180074804	0	0.36	0.03623716030266312	6.5
TCGA.A7.A0DA	0.6363753239312671	0	0	0	0	1.556736214930916	0	0.16414617203655615	0.1649008485517765	0	0.3565243372303391	0	0	5.071792813226831	0.8054625254774131	3.0214858214877958	0	0.1605956364538813	0	0.061980306673218445	0	0	0.03	0.18601830062578203	11.999999999999995
TCGA.GM.A2DB	1.910031290286029	0.510645791073162	0	0.810815102334628	0	3.170028411682592	0	0.6195760634165967	0	0	0.9523168749395541	0	0	3.5794671661840987	2.38788913977557	1.0874434047290118	0	0	0.22178675557876099	0	0	0	0	0.2967582454259913	15.250000000000004
TCGA.A2.A3XS	5.2957401002895	0	0	2.418930129760988	0	11.510625683652302	0.2881910593121064	0	1.5644188311509384	0	2.1445992379285506	0	1.0278411494258886	0.9975420660093733	2.8022782335466263	5.101419460030377	0	0.31804209122447263	0.40537195766887807	0	0	0	0.03	0.1997851948525636	33.875
TCGA.E2.A14R	0.7460704031740041	0	0.8577852084385915	1.9427686546043503	0	2.587427747588169	0	1.8639265828012395	0.547135429194542	0	0.18553045942771956	0	0	8.857826872873645	2.4875075220292615	1.726400757318052	0	0.5089756294368329	0.813644733113604	0	0	0	0.12	0.10054147662046678	23.12500000000001
TCGA.E9.A5FL	0	0.09740685498261116	0	0	0	2.0625235800643793	0	0.2152114219351701	0.4123851672251027	0	0.2583708132645002	0.05558100366764021	0.2364754411000451	0	0.2681318950660389	7.100084895889739	0.21009400377243184	0.5251404055465902	0.308594517485752	0	0	0	0.03	0.15320491117468674	11.75
TCGA.LL.A740	0.8899997272646832	0	0	0	0	1.9961102756502338	0.061746441758070245	0.5664786818815104	0.7156959289066886	0	0.5536425494664532	0	0	6.767477922476219	0.06166228471739296	4.379296095533932	0.5616253256157481	0.7275819417579212	0.5936828249711577	0	0	0	0.01	0.2638536561546107	17.87500000000001
TCGA.GM.A3XL	1.167493610890984	0	1.2863430449790818	0.5605988785529921	0	6.853467734738395	1.3313660112652494	2.1222342729224883	0.170050589146299	0	0.4612507253542795	0.8811261130680885	0	2.993012654612114	3.026100114613876	4.523908864321822	0.08685182875649429	1.0736099070600338	1.712585649717795	0	0	0	0.03	0.17461502217823033	28.249999999999993
TCGA.A2.A0D0	0.5165812843199316	0	0.018333418011366627	0.11570309117246054	0	3.619129058502676	0.06503962016310302	1.364875683463056	0.07675289645123491	0.13559116228694187	0	0.8436257221879964	0	6.989631339243391	1.9009830980449807	1.050419363838575	0	0	0.3033342623142873	0	0	0	0.03	0.22076033488033905	17.0
TCGA.BH.A1EW	2.0318867407882686	0	0.22172408957948225	0	0	9.639341933261454	1.4653559439444104	0	0	0	2.0271768392201395	0	2.016487339118109	0	2.1580862670462984	4.296107036284345	0	0.6023338474699446	2.291499963287558	0	0	0	0.03	0.15308916923502444	26.75000000000001
TCGA.BH.A0E0	0.34869040034225557	0	0	0.34961664134068676	0	1.3781153328404598	0	0.3498671627291977	1.0052498614552203	0	0	0.4157849050271654	0.07681640239207281	0.7732655692554263	0	1.1918005365604953	1.6135520620002808	1.039255791595716	0.3329853344610235	0	0	0	0.14	0.08579202645234331	8.875
TCGA.A7.A6VY	1.565004638999711	0	2.040886804754884	1.1672894948163395	0	3.9897375608578693	0.9151221059189791	1.9394697021286216	1.0752189548030258	0	1.6629902365829927	0	0	11.233154073629933	4.812114527804288	5.196603070578059	0	0	0.9024088291253194	0	0	0	0.03	0.15619293762625733	36.50000000000002
TCGA.A8.A09X	2.705358974354683	0	0.18389142209792605	1.825814777029254	0	8.18521052604267	0.39374162525743456	0.7719293362418416	1.5691586380074307	0	0.26237382319927527	0.29752593422491685	0.531766288915771	0.9940178613572052	1.836642081336339	5.248012424013038	0.03929726478826259	0	1.7802590231339652	0	0	0	0.03	0.19453934898071673	26.625000000000014
